"","y","id","tempo","sexo","IDH","MHDI","V1","V2","V3","Idade","Longevidade","state"
"1",0.0383316577733096,"1",1,1,0.516507590476801,0.703255927381746,"0","0","0","50-59","High","Acre"
"2",0.0928260253138453,"1",1,1,0.516507590476801,0.703255927381746,"1","0","0","60-69","High","Acre"
"3",0.205423658907535,"1",1,1,0.516507590476801,0.703255927381746,"0","1","0","70-79","High","Acre"
"4",0.132163019101384,"1",1,1,0.516507590476801,0.703255927381746,"0","0","1","80-","High","Acre"
"5",0.042791225221045,"2",1,1,0.479090247304695,0.646045992246065,"0","0","0","50-59","Medium","Alagoas"
"6",0.0683628489675972,"2",1,1,0.479090247304695,0.646045992246065,"1","0","0","60-69","Medium","Alagoas"
"7",0.0911762431366484,"2",1,1,0.479090247304695,0.646045992246065,"0","1","0","70-79","Medium","Alagoas"
"8",0.0790090995798211,"2",1,1,0.479090247304695,0.646045992246065,"0","0","1","80-","Medium","Alagoas"
"9",0.0907895754388679,"3",1,1,0.577719495282552,0.728191384392403,"0","0","0","50-59","High","Amapá"
"10",0.183976490603975,"3",1,1,0.577719495282552,0.728191384392403,"1","0","0","60-69","High","Amapá"
"11",0.3212950790091,"3",1,1,0.577719495282552,0.728191384392403,"0","1","0","70-79","High","Amapá"
"12",0.901193514293816,"3",1,1,0.577719495282552,0.728191384392403,"0","0","1","80-","High","Amapá"
"13",0.0687752945118965,"4",1,1,0.530450903807615,0.710919723252318,"0","0","0","50-59","High","Amazonas"
"14",0.171061789498105,"4",1,1,0.530450903807615,0.710919723252318,"1","0","0","60-69","High","Amazonas"
"15",0.310623050550357,"4",1,1,0.530450903807615,0.710919723252318,"0","1","0","70-79","High","Amazonas"
"16",0.460392338824015,"4",1,1,0.530450903807615,0.710919723252318,"0","0","1","80-","High","Amazonas"
"17",0.0348258706467662,"5",1,1,0.507146851632512,0.67670266443883,"0","0","0","50-59","Medium","Bahia"
"18",0.0774366509421803,"5",1,1,0.507146851632512,0.67670266443883,"1","0","0","60-69","Medium","Bahia"
"19",0.0851184492047534,"5",1,1,0.507146851632512,0.67670266443883,"0","1","0","70-79","Medium","Bahia"
"20",0.117392313046168,"5",1,1,0.507146851632512,0.67670266443883,"0","0","1","80-","Medium","Bahia"
"21",0.0309334158224422,"6",1,1,0.53065495154885,0.702437567937393,"0","0","0","50-59","High","Ceará"
"22",0.0784935426494471,"6",1,1,0.53065495154885,0.702437567937393,"1","0","0","60-69","High","Ceará"
"23",0.0889851261825587,"6",1,1,0.53065495154885,0.702437567937393,"0","1","0","70-79","High","Ceará"
"24",0.0765602041605444,"6",1,1,0.53065495154885,0.702437567937393,"0","0","1","80-","High","Ceará"
"25",0.109658959090558,"7",1,1,0.716608535637084,0.803869112501843,"0","0","0","50-59","Very High","Distrito Federal"
"26",0.294125228778388,"7",1,1,0.716608535637084,0.803869112501843,"1","0","0","60-69","Very High","Distrito Federal"
"27",0.520944500296445,"7",1,1,0.716608535637084,0.803869112501843,"0","1","0","70-79","Very High","Distrito Federal"
"28",0.641120820766633,"7",1,1,0.716608535637084,0.803869112501843,"0","0","1","80-","Very High","Distrito Federal"
"29",0.0849637821256412,"8",1,1,0.620727553809076,0.763502628726965,"0","0","0","50-59","High","Espírito Santo"
"30",0.197922305570593,"8",1,1,0.620727553809076,0.763502628726965,"1","0","0","60-69","High","Espírito Santo"
"31",0.352976052380584,"8",1,1,0.620727553809076,0.763502628726965,"0","1","0","70-79","High","Espírito Santo"
"32",0.327017760936251,"8",1,1,0.620727553809076,0.763502628726965,"0","0","1","80-","High","Espírito Santo"
"33",0.074523754285567,"9",1,1,0.603805602944568,0.753044235970067,"0","0","0","50-59","High","Goiás"
"34",0.160028871188101,"9",1,1,0.603805602944568,0.753044235970067,"1","0","0","60-69","High","Goiás"
"35",0.25337045343232,"9",1,1,0.603805602944568,0.753044235970067,"0","1","0","70-79","High","Goiás"
"36",0.261645142164824,"9",1,1,0.603805602944568,0.753044235970067,"0","0","1","80-","High","Goiás"
"37",0.0210605006057794,"10",1,1,0.477080877073773,0.646890428138337,"0","0","0","50-59","Medium","Maranhão"
"38",0.0516845822699972,"10",1,1,0.477080877073773,0.646890428138337,"1","0","0","60-69","Medium","Maranhão"
"39",0.0527414739772639,"10",1,1,0.477080877073773,0.646890428138337,"0","1","0","70-79","Medium","Maranhão"
"40",0.0852215605908282,"10",1,1,0.477080877073773,0.646890428138337,"0","0","1","80-","Medium","Maranhão"
"41",0.041321887969479,"11",1,1,0.580523234729468,0.735163959904921,"0","0","0","50-59","High","Mato Grosso"
"42",0.115922975794602,"11",1,1,0.580523234729468,0.735163959904921,"1","0","0","60-69","High","Mato Grosso"
"43",0.121336323563529,"11",1,1,0.580523234729468,0.735163959904921,"0","1","0","70-79","High","Mato Grosso"
"44",0.224318820405743,"11",1,1,0.580523234729468,0.735163959904921,"0","0","1","80-","High","Mato Grosso"
"45",0.072796638568814,"12",1,1,0.601916074583498,0.759358174654726,"0","0","0","50-59","High","Mato Grosso do Sul"
"46",0.191967623024772,"12",1,1,0.601916074583498,0.759358174654726,"1","0","0","60-69","High","Mato Grosso do Sul"
"47",0.426082025107622,"12",1,1,0.601916074583498,0.759358174654726,"0","1","0","70-79","High","Mato Grosso do Sul"
"48",0.351841827133761,"12",1,1,0.601916074583498,0.759358174654726,"0","0","1","80-","High","Mato Grosso do Sul"
"49",0.0644703941432733,"13",1,1,0.60188005837005,0.759570936253922,"0","0","0","50-59","High","Minas Gerais"
